iter	MAE
0	135.6611101
1	130.3631239
2	126.5732801
3	122.4395168
4	118.6593553
5	114.7751549
6	111.2025333
7	107.9477105
8	103.1281713
9	99.02653847
10	95.35858442
11	91.93819694
12	89.27697405
13	86.64928049
14	83.97078772
15	81.43793398
16	77.8015663
17	75.50193554
18	72.13814652
19	69.18418164
20	66.75730551
21	64.90589132
22	63.34647086
23	61.53466772
24	60.31395388
25	58.76299452
26	56.37084878
27	55.64492235
28	54.70246259
29	52.67210027
30	51.29039406
31	49.93485071
32	48.6289885
33	47.64340099
34	46.76844664
35	45.12432718
36	43.50581022
37	42.27402607
38	40.79953326
39	39.95302461
40	38.20164067
41	36.96456086
42	35.94507586
43	35.04314321
44	34.29747177
45	33.29364715
46	32.2027004
47	31.25067298
48	30.58897275
49	29.94847168
50	29.3640289
51	28.86185147
52	27.8909974
53	26.89476688
54	26.27480857
55	25.56273068
56	24.91573041
57	24.89709705
58	24.2040058
59	23.56238998
60	22.72450153
61	22.12115619
62	21.43472938
63	20.92093898
64	20.39412963
65	19.84313121
66	19.38320904
67	18.86910258
68	18.31864274
69	17.93072898
70	17.53153503
71	17.09721921
72	16.51427813
73	16.24030519
74	16.04926165
75	15.78861718
76	15.27890307
77	15.05171234
78	14.49708589
79	14.20843046
80	13.64391946
81	13.29072086
82	13.03304593
83	12.42309134
84	12.29170158
85	12.11154918
86	11.82484263
87	11.51438439
88	11.25984011
89	11.11051362
90	10.75191186
91	10.6080569
92	10.3156342
93	10.10772886
94	10.00911522
95	9.846228802
96	9.639113353
97	9.451526952
98	9.28722362
99	8.881508024
100	8.615852323
101	8.443409952
102	8.332315436
103	8.125494639
104	8.022453986
105	7.959155136
106	7.728875201
107	7.493501722
108	7.284975539
109	7.088743169
110	6.78941297
111	6.6571537
112	6.498269833
113	6.269955033
114	6.123679982
115	6.060854795
116	5.877666314
117	5.750023571
118	5.616869314
119	5.514466837
120	5.461346546
121	5.330155879
122	5.186379911
123	5.135472668
124	4.991964085
125	4.920929504
126	4.769977574
127	4.708679045
128	4.602890142
129	4.559667789
130	4.46696611
131	4.422184133
132	4.300378601
133	4.138388936
134	3.954532301
135	3.853981794
136	3.736403964
137	3.567543778
138	3.53822036
139	3.488863455
140	3.446354201
141	3.398420761
142	3.326419274
143	3.304687307
144	3.279325952
145	3.224969941
146	3.207705078
147	3.157661575
148	3.098814991
149	3.07357774
150	2.986417295
151	2.967354725
152	2.948253363
153	2.890254743
154	2.858279495
155	2.818853483
156	2.750682569
157	2.726115217
158	2.716041461
159	2.694122595
160	2.664828452
161	2.607814333
162	2.561838683
163	2.509976875
164	2.494928032
165	2.442356763
166	2.43548273
167	2.391167931
168	2.341223429
169	2.335129298
170	2.307581887
171	2.271617069
172	2.246543393
173	2.169752141
174	2.096800452
175	2.027496351
176	1.961719443
177	1.940166511
178	1.923375653
179	1.907424337
180	1.892294946
181	1.88799881
182	1.876464608
183	1.867247753
184	1.853255671
185	1.838640419
186	1.824770035
187	1.807017201
188	1.796936988
189	1.791118027
190	1.766997593
191	1.732075638
192	1.695954071
193	1.670242959
194	1.652375401
195	1.636784472
196	1.595782915
197	1.577487541
198	1.550906159
199	1.535555248
200	1.518173621
201	1.501530928
202	1.49234091
203	1.477184601
204	1.438524312
205	1.395359851
206	1.347487819
207	1.309825944
208	1.268288583
209	1.220564197
210	1.203860447
211	1.185938797
212	1.168913229
213	1.15278566
214	1.116523763
215	1.103405147
216	1.094207625
217	1.080447747
218	1.067375863
219	1.054961914
220	1.045886252
221	1.035144472
222	0.9879281726
223	0.9430726892
224	0.9004599802
225	0.8692350409
226	0.8408957493
227	0.8351840057
228	0.8198264472
229	0.8082849815
230	0.8042874685
231	0.8004898313
232	0.7968831003
233	0.7919923703
234	0.7807693077
235	0.7681983626
236	0.7575100912
237	0.7537421749
238	0.7496371455
239	0.7458734055
240	0.7257522841
241	0.7222486538
242	0.7167226397
243	0.6980195173
244	0.6951688768
245	0.6921986853
246	0.6887034486
247	0.6705950259
248	0.6699813582
249	0.6499032689
250	0.6374333927
251	0.6349043897
252	0.6173710163
253	0.6019424156
254	0.5966911496
255	0.5920967017
256	0.5881539909
257	0.5864684459
258	0.5834231802
259	0.5805601739
260	0.5759726293
261	0.5744462893
262	0.569547575
263	0.5670885399
264	0.5647857386
265	0.5620461752
266	0.5607357451
267	0.5591943699
268	0.5578400675
269	0.557209202
270	0.5436718548
271	0.5217369095
272	0.5008987126
273	0.4811024253
274	0.4622959516
275	0.4444349843
276	0.4342506808
277	0.4329494078
278	0.4289352326
279	0.4282970982
280	0.4277907055
281	0.4250378921
282	0.4242041801
283	0.4221671399
284	0.4196306539
285	0.41722743
286	0.4149472687
287	0.4139487347
288	0.4129982466
289	0.4123765339
290	0.4118757563
291	0.4114340108
292	0.4109245879
293	0.4098228188
294	0.4095327194
295	0.4092863511
296	0.4056670647
297	0.3957373046
298	0.3863259737
299	0.3838136055
300	0.3768357074
301	0.3755199504
302	0.3652715462
303	0.3631643342
304	0.3618142109
305	0.3598670312
306	0.3595993352
307	0.3586317711
308	0.3584621491
309	0.3489118833
310	0.3398413901
311	0.3396161876
312	0.3381855525
313	0.3301381701
314	0.3223830188
315	0.3214913156
316	0.3128145838
317	0.304084196
318	0.3033571044
319	0.3026499437
320	0.3019169685
321	0.2934137684
322	0.2858255845
323	0.2803405685
324	0.2746193981
325	0.2685078808
326	0.2678202969
327	0.2601696254
328	0.2529005683
329	0.2459964139
330	0.2454245151
331	0.2399955181
332	0.2394540361
333	0.2324888368
334	0.2270202609
335	0.2208620546
336	0.2109300697
337	0.2090203139
338	0.207389477
339	0.2019495599
340	0.1955186302
341	0.1896604115
342	0.1845321634
343	0.1800463695
344	0.1753328615
345	0.1700684281
346	0.1689731678
347	0.164044975
348	0.1593623668
349	0.1549138889
350	0.1506878348
351	0.1466730835
352	0.142860053
353	0.1392376739
354	0.1357964138
355	0.1325272168
356	0.1294222357
357	0.129012312
358	0.1287999816
359	0.1262289925
360	0.1235942738
361	0.1212426993
362	0.1172233983
363	0.1151036324
364	0.1112627216
365	0.1107169941
366	0.1053107097
367	0.1015858066
368	0.09804720097
369	0.09468547584
370	0.09149188433
371	0.08845797235
372	0.08557735645
373	0.0815282739
374	0.08124088455
375	0.08084700247
376	0.07841440671
377	0.0761034407
378	0.07390802308
379	0.07182238087
380	0.0698068682
381	0.06789213116
382	0.06610254555
383	0.06434792975
384	0.06405100172
385	0.06387982809
386	0.06239240005
387	0.06235552157
388	0.06217623735
389	0.06198557576
390	0.06196644072
391	0.06173407983
392	0.06162017053
393	0.06139287335
394	0.05999118483
395	0.05866307344
396	0.05856127348
397	0.05846621279
398	0.05843441443
399	0.05838698832
