iter	Passed	Remaining
0	0	343
1	1	341
2	3	397
3	3	383
4	4	378
5	5	376
6	6	370
7	7	353
8	7	337
9	9	357
10	10	355
11	10	350
12	11	343
13	12	336
14	12	332
15	13	325
16	14	327
17	15	326
18	16	321
19	16	315
20	17	309
21	17	306
22	18	297
23	18	293
24	19	289
25	19	283
26	20	283
27	21	279
28	21	276
29	22	272
30	22	269
31	23	266
32	23	262
33	24	259
34	24	255
35	24	251
36	25	247
37	25	244
38	26	241
39	26	239
40	27	237
41	27	236
42	28	233
43	28	232
44	29	230
45	29	227
46	30	226
47	30	224
48	31	222
49	31	220
50	31	218
51	32	216
52	33	216
53	33	216
54	34	214
55	34	213
56	35	211
57	35	208
58	35	206
59	36	204
60	36	203
61	36	201
62	37	199
63	37	198
64	38	196
65	38	195
66	39	194
67	39	193
68	40	192
69	40	191
70	41	190
71	41	189
72	42	188
73	42	187
74	42	185
75	43	184
76	43	184
77	44	182
78	44	182
79	45	181
80	46	181
81	46	181
82	47	180
83	47	179
84	48	178
85	48	177
86	49	176
87	49	175
88	49	174
89	50	173
90	50	172
91	51	172
92	52	171
93	52	171
94	53	170
95	53	170
96	54	168
97	54	167
98	54	166
99	55	165
100	55	164
101	56	163
102	56	162
103	56	161
104	57	161
105	57	160
106	58	159
107	58	159
108	59	158
109	59	157
110	60	156
111	60	156
112	61	155
113	61	154
114	61	153
115	62	152
116	62	151
117	63	151
118	63	150
119	64	150
120	64	149
121	65	148
122	65	148
123	66	147
124	66	146
125	67	145
126	67	144
127	67	144
128	68	143
129	68	142
130	68	141
131	69	141
132	70	140
133	70	140
134	71	139
135	71	139
136	72	138
137	72	137
138	73	137
139	73	136
140	74	135
141	74	135
142	74	134
143	75	134
144	76	134
145	76	133
146	77	133
147	77	132
148	78	132
149	78	131
150	79	130
151	79	130
152	80	129
153	80	128
154	81	128
155	81	127
156	82	127
157	82	126
158	83	126
159	83	125
160	84	125
161	84	124
162	85	124
163	85	123
164	86	122
165	86	122
166	87	121
167	87	121
168	88	121
169	89	120
170	89	119
171	90	119
172	90	118
173	90	118
174	91	117
175	91	116
176	92	115
177	92	115
178	92	114
179	93	114
180	93	113
181	94	113
182	94	112
183	95	111
184	95	111
185	96	110
186	96	110
187	97	109
188	97	108
189	97	108
190	98	107
191	98	106
192	99	106
193	99	105
194	100	105
195	100	104
196	101	104
197	102	104
198	102	103
199	102	102
200	103	102
201	103	101
202	104	101
203	104	100
204	105	99
205	105	99
206	106	99
207	106	98
208	107	98
209	107	97
210	108	97
211	108	96
212	109	95
213	109	95
214	110	94
215	110	94
216	110	93
217	111	92
218	111	92
219	112	91
220	112	91
221	113	90
222	113	90
223	114	90
224	115	89
225	115	89
226	116	88
227	116	88
228	117	87
229	118	87
230	119	87
231	119	86
232	120	86
233	121	86
234	121	85
235	122	85
236	123	84
237	123	84
238	124	83
239	125	83
240	125	82
241	126	82
242	126	81
243	127	81
244	127	80
245	128	80
246	128	79
247	129	79
248	129	78
249	130	78
250	131	77
251	131	77
252	132	76
253	132	76
254	133	75
255	133	75
256	134	74
257	134	74
258	135	73
259	135	73
260	136	72
261	136	72
262	137	71
263	138	71
264	138	70
265	139	70
266	139	69
267	140	69
268	140	68
269	141	67
270	141	67
271	142	66
272	142	66
273	143	65
274	144	65
275	144	64
276	145	64
277	145	63
278	146	63
279	146	62
280	147	62
281	148	61
282	148	61
283	149	61
284	150	60
285	151	60
286	151	59
287	152	59
288	152	58
289	153	58
290	153	57
291	154	57
292	154	56
293	155	56
294	156	55
295	157	55
296	157	54
297	158	54
298	158	53
299	159	53
300	160	52
301	160	52
302	161	51
303	162	51
304	163	50
305	164	50
306	164	49
307	165	49
308	165	48
309	166	48
310	166	47
311	167	47
312	167	46
313	168	46
314	169	45
315	170	45
316	170	44
317	171	44
318	172	43
319	172	43
320	173	42
321	173	42
322	174	41
323	175	41
324	175	40
325	176	40
326	177	39
327	177	39
328	178	38
329	179	37
330	179	37
331	180	36
332	181	36
333	181	35
334	182	35
335	182	34
336	183	34
337	183	33
338	184	33
339	184	32
340	185	32
341	185	31
342	186	30
343	186	30
344	187	29
345	187	29
346	188	28
347	188	28
348	189	27
349	189	27
350	189	26
351	190	25
352	190	25
353	191	24
354	191	24
355	192	23
356	192	23
357	193	22
358	194	22
359	194	21
360	195	21
361	195	20
362	196	20
363	196	19
364	197	18
365	197	18
366	198	17
367	199	17
368	199	16
369	200	16
370	200	15
371	201	15
372	201	14
373	201	14
374	202	13
375	202	12
376	203	12
377	203	11
378	204	11
379	204	10
380	205	10
381	206	9
382	206	9
383	207	8
384	207	8
385	208	7
386	208	7
387	209	6
388	209	5
389	210	5
390	210	4
391	210	4
392	211	3
393	212	3
394	212	2
395	213	2
396	213	1
397	214	1
398	214	0
399	214	0
