iter	MAE
0	151.4069434
1	145.06236
2	140.5924953
3	137.4606458
4	133.673658
5	129.1512716
6	124.4541227
7	120.7263365
8	117.2175124
9	113.2953789
10	109.7086815
11	105.699368
12	103.0731453
13	100.350428
14	98.2755805
15	95.55129026
16	93.44766626
17	89.46588131
18	86.70219332
19	83.63950811
20	81.51670187
21	78.080299
22	75.4790745
23	73.11304186
24	70.93385675
25	68.39436477
26	66.279536
27	63.93451823
28	61.92403903
29	60.50043137
30	58.407416
31	56.43359555
32	55.09952808
33	53.28345899
34	51.50527571
35	49.60587996
36	48.36841044
37	46.84956595
38	45.34902431
39	43.64637535
40	42.51064508
41	41.5500832
42	39.99521758
43	38.953149
44	38.19268124
45	37.15883096
46	36.47650917
47	35.58965241
48	34.57897364
49	33.85747339
50	33.09107357
51	32.57821546
52	31.75871703
53	30.68504228
54	29.74828654
55	29.25099917
56	28.59967253
57	27.69106869
58	26.88819565
59	26.41841426
60	25.86588301
61	25.28389595
62	24.99077951
63	24.49113968
64	23.98451651
65	23.68595137
66	23.04963064
67	22.16001672
68	21.52304288
69	21.00627478
70	20.40590056
71	20.16810107
72	19.72042796
73	19.13147609
74	18.706276
75	18.25358035
76	17.97410601
77	17.71644421
78	17.48753882
79	17.2608796
80	17.01561453
81	16.76695263
82	16.54627963
83	16.3393989
84	16.13143205
85	15.89395288
86	15.7778577
87	15.64049429
88	15.30269863
89	14.88918622
90	14.71931212
91	14.44730778
92	14.17693209
93	13.9239113
94	13.64598791
95	13.32744557
96	12.94150215
97	12.6304892
98	12.54847741
99	12.28466662
100	12.15499389
101	11.89571513
102	11.70985357
103	11.48968446
104	11.10155032
105	10.90283325
106	10.79312068
107	10.60194861
108	10.48728931
109	10.24011688
110	10.08517698
111	9.831128388
112	9.643143422
113	9.3209879
114	9.053984759
115	8.909607944
116	8.780308231
117	8.574772323
118	8.375695999
119	8.261922055
120	8.094842433
121	7.834264811
122	7.735887187
123	7.633102533
124	7.419298306
125	7.111518753
126	6.990941917
127	6.85115183
128	6.786218434
129	6.661156069
130	6.522206654
131	6.381958886
132	6.148716954
133	6.027894618
134	5.897462169
135	5.77794175
136	5.721271957
137	5.633819469
138	5.537568619
139	5.332248202
140	5.246546019
141	5.115380833
142	5.078903526
143	5.022960654
144	4.96264652
145	4.815137903
146	4.770389807
147	4.679413429
148	4.576391174
149	4.537136075
150	4.510404863
151	4.480963891
152	4.410352661
153	4.351459215
154	4.25693451
155	4.208542761
156	4.161853532
157	4.144168915
158	4.116946679
159	4.09470525
160	4.045385771
161	3.920720734
162	3.872327856
163	3.822358899
164	3.76589822
165	3.708529607
166	3.677921773
167	3.640234955
168	3.540776875
169	3.509762019
170	3.436543648
171	3.389530917
172	3.352821401
173	3.325190932
174	3.211198854
175	3.182611477
176	3.13948478
177	3.121354414
178	3.099945313
179	3.042997372
180	3.011383226
181	2.991347703
182	2.966413316
183	2.928890736
184	2.90669595
185	2.890760259
186	2.824320611
187	2.761392119
188	2.706622676
189	2.671451753
190	2.652393516
191	2.581548694
192	2.55922265
193	2.549922287
194	2.528936502
195	2.479000682
196	2.460096089
197	2.443207952
198	2.42968635
199	2.42044163
200	2.411659147
201	2.403315788
202	2.395433703
203	2.377123917
204	2.363655227
205	2.353216431
206	2.31676396
207	2.304926017
208	2.297184176
209	2.23418275
210	2.225318101
211	2.2214323
212	2.194477985
213	2.168103596
214	2.164630163
215	2.157257848
216	2.154550602
217	2.128300856
218	2.120856821
219	2.118118066
220	2.096335317
221	2.092850138
222	2.070701607
223	2.066774068
224	2.059338296
225	2.035950401
226	2.031192066
227	2.027425614
228	2.014699133
229	2.002693912
230	1.97328358
231	1.968067345
232	1.963148992
233	1.95665271
234	1.902662156
235	1.891095767
236	1.875353708
237	1.873162111
238	1.871080094
239	1.869102179
240	1.867223294
241	1.862056516
242	1.857112023
243	1.852681402
244	1.848894074
245	1.845090155
246	1.821294035
247	1.808223294
248	1.795456375
249	1.789556855
250	1.782859777
251	1.740808714
252	1.737729906
253	1.733735969
254	1.728941628
255	1.725806567
256	1.646856663
257	1.571867938
258	1.542948314
259	1.518192201
260	1.503116264
261	1.49412546
262	1.49017431
263	1.469588056
264	1.466777491
265	1.452794221
266	1.439102133
267	1.426094649
268	1.413737539
269	1.401998285
270	1.390845993
271	1.38025681
272	1.374805223
273	1.365007821
274	1.355700289
275	1.347002886
276	1.342265611
277	1.337765199
278	1.33349206
279	1.329432577
280	1.325576068
281	1.321912385
282	1.318431886
283	1.315131637
284	1.313591499
285	1.300877161
286	1.29436068
287	1.291465314
288	1.288714717
289	1.286101649
290	1.283619234
291	1.281398266
292	1.275626864
293	1.270307455
294	1.253890046
295	1.25212842
296	1.250254745
297	1.248694338
298	1.247009524
299	1.245764112
300	1.244329767
301	1.24288733
302	1.241628831
303	1.240331462
304	1.239328747
305	1.238184961
306	1.237047969
307	1.236112567
308	1.235223935
309	1.234381284
310	1.23032493
311	1.229507264
312	1.228672594
313	1.227950243
314	1.22717253
315	1.226537638
316	1.22602071
317	1.224875259
318	1.224545926
319	1.223980025
320	1.223446026
321	1.222797082
322	1.222173024
323	1.221879011
324	1.221365183
325	1.220878228
326	1.220498002
327	1.216132918
328	1.207482433
329	1.207149887
330	1.207001084
331	1.2066259
332	1.206269476
333	1.20593205
334	1.205628754
335	1.205475393
336	1.205307147
337	1.159689742
338	1.15949862
339	1.159155289
340	1.158942117
341	1.158689037
342	1.148949393
343	1.148761939
344	1.148580658
345	1.148320584
346	1.148073514
347	1.147850897
348	1.147634891
349	1.143704064
350	1.143619876
351	1.1434951
352	1.139878972
353	1.136446499
354	1.133182789
355	1.130082667
356	1.130022863
357	1.129828056
358	1.129700901
359	1.129571048
360	1.129470023
361	1.086412264
362	1.082683137
363	1.04163166
364	1.002632758
365	0.9658998468
366	0.9627920974
367	0.9599235213
368	0.9569408304
369	0.9538521121
370	0.9505491315
371	0.9474621729
372	0.9384731439
373	0.9367019618
374	0.936379691
375	0.9359109698
376	0.9356556068
377	0.9245225311
378	0.9243248662
379	0.921594597
380	0.9189512542
381	0.9159519509
382	0.9129668931
383	0.8803111368
384	0.8405635031
385	0.802803252
386	0.7669310123
387	0.7328523848
388	0.7005858446
389	0.694221487
390	0.6914955895
391	0.6889059869
392	0.6864600415
393	0.6861275186
394	0.6836809972
395	0.6831058676
396	0.6807913339
397	0.6802704386
398	0.679775588
399	0.6776268318
