iter	Passed	Remaining
0	0	174
1	0	190
2	1	203
3	2	199
4	2	193
5	2	184
6	3	203
7	4	206
8	4	202
9	5	200
10	5	197
11	6	195
12	6	189
13	6	184
14	7	180
15	7	180
16	7	174
17	8	171
18	8	170
19	8	169
20	9	169
21	9	170
22	10	169
23	10	169
24	11	170
25	11	170
26	12	172
27	13	173
28	13	173
29	14	174
30	14	172
31	14	172
32	15	170
33	15	171
34	16	171
35	16	171
36	17	172
37	18	174
38	18	174
39	19	173
40	19	173
41	20	172
42	20	170
43	20	169
44	21	169
45	22	169
46	22	169
47	23	170
48	23	170
49	24	170
50	24	170
51	25	170
52	25	169
53	26	168
54	26	168
55	27	166
56	27	166
57	28	165
58	28	165
59	29	164
60	29	164
61	30	163
62	30	162
63	30	162
64	31	161
65	31	160
66	32	160
67	32	160
68	33	159
69	33	159
70	34	159
71	35	159
72	35	158
73	35	158
74	36	157
75	36	157
76	37	156
77	37	155
78	38	154
79	38	154
80	38	152
81	39	152
82	39	151
83	40	150
84	40	150
85	40	149
86	41	148
87	41	147
88	42	146
89	42	147
90	43	146
91	43	146
92	44	145
93	44	144
94	44	144
95	45	143
96	45	143
97	46	142
98	46	141
99	47	141
100	47	140
101	47	140
102	48	139
103	48	138
104	49	138
105	49	137
106	50	137
107	50	136
108	50	136
109	51	135
110	51	134
111	52	134
112	52	134
113	53	133
114	53	133
115	54	132
116	54	132
117	55	131
118	55	131
119	56	131
120	56	130
121	57	130
122	57	129
123	58	129
124	58	129
125	59	128
126	59	128
127	60	127
128	60	127
129	60	126
130	61	126
131	61	125
132	62	124
133	62	124
134	63	124
135	63	123
136	64	123
137	64	122
138	65	122
139	65	121
140	65	120
141	66	120
142	66	119
143	67	119
144	67	118
145	67	118
146	68	117
147	68	117
148	69	116
149	69	116
150	70	115
151	70	115
152	71	114
153	71	114
154	71	113
155	72	112
156	72	112
157	73	111
158	73	111
159	73	110
160	74	110
161	74	109
162	75	109
163	75	108
164	76	108
165	76	107
166	76	107
167	77	106
168	77	106
169	78	105
170	78	105
171	78	104
172	79	104
173	79	103
174	80	103
175	80	102
176	81	102
177	81	101
178	82	101
179	82	101
180	83	100
181	83	100
182	83	99
183	84	99
184	84	98
185	85	97
186	85	97
187	85	96
188	86	96
189	86	95
190	87	95
191	87	94
192	87	94
193	88	93
194	88	93
195	89	93
196	89	92
197	90	92
198	90	91
199	91	91
200	91	90
201	92	90
202	92	89
203	92	89
204	93	88
205	93	88
206	94	87
207	94	87
208	95	87
209	95	86
210	96	86
211	96	85
212	97	85
213	97	84
214	97	84
215	98	83
216	98	83
217	99	82
218	99	82
219	100	81
220	100	81
221	100	80
222	101	80
223	101	80
224	102	79
225	102	79
226	103	78
227	103	78
228	104	77
229	104	77
230	105	76
231	105	76
232	105	75
233	106	75
234	106	74
235	107	74
236	107	74
237	108	73
238	108	73
239	109	72
240	109	72
241	110	72
242	110	71
243	111	70
244	111	70
245	111	70
246	112	69
247	112	69
248	113	68
249	113	68
250	114	67
251	114	67
252	115	66
253	115	66
254	115	65
255	116	65
256	116	64
257	117	64
258	117	63
259	117	63
260	118	63
261	118	62
262	119	62
263	119	61
264	120	61
265	120	60
266	121	60
267	121	59
268	122	59
269	122	59
270	123	58
271	123	58
272	124	57
273	124	57
274	125	57
275	126	56
276	126	56
277	126	55
278	127	55
279	128	54
280	128	54
281	128	53
282	129	53
283	129	53
284	130	52
285	131	52
286	131	51
287	131	51
288	132	50
289	132	50
290	132	49
291	133	49
292	133	48
293	134	48
294	134	48
295	135	47
296	135	47
297	136	46
298	137	46
299	137	45
300	138	45
301	138	44
302	139	44
303	139	44
304	139	43
305	140	43
306	141	42
307	141	42
308	142	41
309	142	41
310	143	40
311	143	40
312	144	40
313	144	39
314	144	39
315	145	38
316	145	38
317	146	37
318	147	37
319	147	36
320	148	36
321	148	36
322	149	35
323	149	35
324	150	34
325	150	34
326	151	33
327	151	33
328	152	32
329	152	32
330	153	31
331	153	31
332	154	31
333	154	30
334	155	30
335	155	29
336	156	29
337	156	28
338	157	28
339	157	27
340	157	27
341	158	26
342	158	26
343	159	25
344	159	25
345	160	25
346	160	24
347	161	24
348	161	23
349	162	23
350	162	22
351	163	22
352	163	21
353	164	21
354	164	20
355	165	20
356	165	19
357	166	19
358	166	19
359	167	18
360	167	18
361	168	17
362	168	17
363	169	16
364	169	16
365	170	15
366	170	15
367	170	14
368	171	14
369	171	13
370	172	13
371	172	12
372	173	12
373	173	12
374	174	11
375	174	11
376	174	10
377	175	10
378	175	9
379	176	9
380	176	8
381	177	8
382	177	7
383	178	7
384	178	6
385	179	6
386	179	6
387	180	5
388	180	5
389	181	4
390	181	4
391	182	3
392	182	3
393	183	2
394	183	2
395	184	1
396	184	1
397	185	0
398	185	0
399	186	0
