cell_id,dataset_prefix,source_batch,n_cycles,Qdis_N,delta_Qdis,retention_ratio,slope_linear,variance_Qdis,range_Qdis,max_drop,std_diff,skewness_Qdis,slope_ratio,Qdis_cycle10,mean_diff,stored_cycle_life,q0,q0_source,eol_80pct_q0_cycle,eol_80pct_q0_label,is_censored_80pct_q0,eol_85pct_q0_cycle,eol_85pct_q0_label,is_censored_85pct_q0,eol_88ah_cycle,eol_88ah_label,is_censored_88ah,observed_cycle_count,gap_to_stored_cycle_life,needs_relabel,last_valid_qd,merge_status,kept_for_modeling,cycle_life
b1c0,matr,b1,100,1.0759126,0.005223400000000211,1.0048785399161588,-0.00020680701298699973,0.002146154811085523,0.46836520000000004,0.4652274999999999,0.06639872259249803,9.939728970853363,0.033162075871176366,1.0745373,5.3300000000002156e-05,1852.0,1.072205,median_qd_cycles_2_to_5,1980.0,1980.0,0,1946.0,1946.0,0,1966.0,1966.0,0,1995,-143.0,0,0.8264814,continued_from_b2c7,1,1946.0
b1c1,matr,b1,100,1.0806297,0.005328500000000069,1.004955355764506,5.535292517018203e-06,1.4041046779757487e-06,0.009288300000000138,0.002288600000000196,0.0005547671347807154,-2.459801446985826,-0.33621505477628977,1.0797766,5.4372448979592546e-05,2160.0,1.0769552999999998,median_qd_cycles_2_to_5,2098.0,2098.0,0,2053.0,2053.0,0,2082.0,2082.0,0,2125,35.0,1,0.8255862,continued_from_b2c8,1,2053.0
b1c10,matr,b1,100,1.0816405,0.006364800000000059,1.0059192261110337,2.5291880024744434e-05,2.4687458220936956e-06,0.009695600000000137,0.009142300000000159,0.001151115953414319,-2.420437396866081,-0.19681362910147102,1.0795403,6.49469387755108e-05,906.0,1.07650055,median_qd_cycles_2_to_5,,906.0,1,,906.0,1,,906.0,1,905,1.0,0,0.96101874,native,0,906.0
b1c11,matr,b1,100,1.0599719,0.006193300000000068,1.00587723075796,2.180940259741822e-05,2.036413854143478e-06,0.009460400000000035,0.008566500000000143,0.0010867777356126263,-2.4595065516083543,-0.2370950298683098,1.0581003,6.31969387755109e-05,788.0,1.0554555,median_qd_cycles_2_to_5,,788.0,1,771.0,771.0,0,,788.0,1,787,1.0,0,0.88054359,native,1,771.0
b1c12,matr,b1,100,1.0819131,0.004347099999999937,1.0040341844490268,1.2573115646275923e-05,7.452280068339932e-07,0.005827599999999933,0.00041439999999992594,0.00016711051697107128,-2.9171483531581233,-0.3542960444170459,1.081143,4.435816326530548e-05,902.0,1.0790143,median_qd_cycles_2_to_5,,902.0,1,897.0,897.0,0,,902.0,1,901,1.0,0,0.91311944,native,0,897.0
b1c13,matr,b1,100,1.0836461,0.0038567999999998825,1.0035718079443832,4.45867656154544e-06,6.755986037547209e-07,0.005983599999999978,0.0007201999999999487,0.00020024286535861828,-2.5236616354831773,-0.6072674114150012,1.0836941,3.935510204081513e-05,897.0,1.0814757,median_qd_cycles_2_to_5,,897.0,1,,897.0,1,,897.0,1,896,1.0,0,0.92313582,native,0,897.0
b1c14,matr,b1,100,1.0762016,0.005235500000000171,1.0048885767719447,2.623412492270825e-05,1.4903285187960418e-06,0.007016599999999817,0.0047607999999998984,0.000588352303315386,-2.471348521136312,-0.16729180678542832,1.0752021,5.342346938775684e-05,880.0,1.0722955,median_qd_cycles_2_to_5,,880.0,1,845.0,845.0,0,,880.0,1,879,1.0,0,0.8800649,native,1,845.0
b1c15,matr,b1,100,1.0677497,0.006626100000000079,1.006244418652078,2.9049360544229132e-05,1.9424197721232598e-06,0.008215100000000142,0.005100199999999999,0.0006440616183979763,-2.6678396113563276,-0.20228958106019024,1.0666022,6.761326530612325e-05,719.0,1.063235,median_qd_cycles_2_to_5,,719.0,1,699.0,699.0,0,,719.0,1,718,1.0,0,0.88298881,native,1,699.0
b1c16,matr,b1,100,1.0863206,0.005154199999999998,1.004767258767938,2.316027458256776e-05,1.4332652784164748e-06,0.007425499999999863,0.004464299999999977,0.0005537052306159779,-2.288481188260199,-0.24886102709906935,1.0857847,5.2593877551020386e-05,862.0,1.08287165,median_qd_cycles_2_to_5,,862.0,1,824.0,824.0,0,,862.0,1,861,1.0,0,0.88096577,native,1,824.0
b1c17,matr,b1,100,1.0769763,0.004924300000000104,1.004593340621537,1.788623129253169e-05,1.0999413835261732e-06,0.007173799999999897,0.001229099999999983,0.00028404568841663974,-2.1236927405368013,-0.4211329388110845,1.0757509,5.0247959183674526e-05,857.0,1.07360355,median_qd_cycles_2_to_5,,857.0,1,825.0,825.0,0,,857.0,1,856,1.0,0,0.8832469,native,1,825.0
b1c18,matr,b1,100,1.0645274,-0.0016430999999998974,0.998458876886952,-0.00029454159059986984,0.032977476867205466,1.8202613,1.8146027000000002,0.25923116980720284,9.948558171818377,-0.03565902363854221,1.0695512,-1.67663265306112e-05,691.0,1.06710325,median_qd_cycles_2_to_5,,691.0,1,665.0,665.0,0,,691.0,1,690,1.0,0,0.88114411,native,1,665.0
b1c19,matr,b1,100,1.0870851,0.0019703999999998167,1.001815844905612,-1.0355845392692226e-05,5.896913482909867e-07,0.004190699999999881,0.0012825999999999116,0.00035207015935091203,-1.4393363633250276,-1.3034356323102492,1.0886388,2.0106122448977722e-05,788.0,1.0866477,median_qd_cycles_2_to_5,,788.0,1,740.0,740.0,0,,788.0,1,787,1.0,0,0.88093972,native,1,740.0
b1c2,matr,b1,100,1.0849404,0.005018100000000025,1.0046467231948077,1.0295625231922212e-05,1.0410625875665818e-06,0.008131200000000005,0.002243299999999948,0.0005118544755666834,-2.7983597010464507,-0.29875920250369525,1.0837817,5.120510204081659e-05,2237.0,1.0817747,median_qd_cycles_2_to_5,1976.0,1976.0,0,1945.0,1945.0,0,1967.0,1967.0,0,1995,242.0,1,0.82610458,continued_from_b2c9,1,1945.0
b1c20,matr,b1,100,1.0612478,-0.011382199999999898,0.9893885123481537,-0.0001397761818181655,1.7332429038385893e-05,0.014476399999999945,0.007362599999999997,0.0009212969790998221,-0.44710859106812084,2.7565932319089526,1.0757242,-0.00011614489795918263,534.0,1.07410775,median_qd_cycles_2_to_5,,534.0,1,504.0,504.0,0,,534.0,1,533,1.0,0,0.88078493,native,1,504.0
b1c21,matr,b1,100,1.0767291,-0.005709699999999929,0.9947251521286932,-8.178444155842871e-05,6.7628706868646e-06,0.009197099999999958,0.007470199999999982,0.0009193974983112937,-0.5467964310311131,10.522270802378548,1.0858023,-5.826224489795846e-05,559.0,1.08404015,median_qd_cycles_2_to_5,,559.0,1,535.0,535.0,0,,559.0,1,558,1.0,0,0.88016534,native,1,535.0
b1c22,matr,b1,100,1.0820541,0.002750199999999925,1.0025481238416722,-6.755834260962709e-06,5.475690513865873e-07,0.005003300000000044,0.0012465999999999866,0.000337470001505122,-1.6899357920544598,-0.9751643493954022,1.0830258,2.8063265306121682e-05,891.0,1.08099815,median_qd_cycles_2_to_5,,891.0,1,,891.0,1,,891.0,1,890,1.0,0,0.96327895,native,0,891.0
b1c23,matr,b1,100,1.0816909,0.0023974999999998303,1.0022213607532482,-6.950910327758102e-06,4.071441198163376e-07,0.004492999999999858,0.0012772999999999257,0.0003315286718446808,-1.581867013954768,-1.2525040297283323,1.0826545,2.4464285714283983e-05,1014.0,1.0809316,median_qd_cycles_2_to_5,,1014.0,1,974.0,974.0,0,,1014.0,1,1013,1.0,0,0.88066453,native,1,974.0
b1c24,matr,b1,100,1.0776314,0.0030958999999999293,1.0028811519023801,2.024258503414278e-06,5.092068983124051e-07,0.004539499999999919,0.0013752999999998572,0.00045990668598491064,-2.115720754801827,-0.7004155237559676,1.077704,3.159081632652989e-05,1017.0,1.0758532500000002,median_qd_cycles_2_to_5,,1017.0,1,979.0,979.0,0,,1017.0,1,1016,1.0,0,0.88046598,native,1,979.0
b1c25,matr,b1,100,1.0780438,0.0028093000000000146,1.0026127323853542,5.12931354370892e-07,5.29115396216692e-07,0.004678599999999866,0.0012472999999999512,0.00023563110824383597,-2.026198120347755,-0.6765113431831381,1.0783457,2.8666326530612394e-05,854.0,1.0765048,median_qd_cycles_2_to_5,,854.0,1,817.0,817.0,0,,854.0,1,853,1.0,0,0.88019997,native,1,817.0
b1c26,matr,b1,100,1.0893713,0.0017199000000001075,1.0015812970957423,-1.5210461348164644e-05,7.43129392984391e-07,0.004499100000000089,0.0024927999999999617,0.0005801074992303319,-1.3229781043678328,-1.900771527802796,1.0910354,1.7550000000001097e-05,870.0,1.0891754,median_qd_cycles_2_to_5,,870.0,1,826.0,826.0,0,,870.0,1,869,1.0,0,0.88105017,native,1,826.0
b1c27,matr,b1,100,1.0810226,0.0019765000000000477,1.001831710433873,-1.0758799010503696e-05,5.637001648117731e-07,0.003953399999999885,0.0012744000000000089,0.00041766020037701217,-1.0897857372540374,-1.300432097055417,1.0822893,2.0168367346939262e-05,842.0,1.0804401499999998,median_qd_cycles_2_to_5,,842.0,1,809.0,809.0,0,,842.0,1,841,1.0,0,0.88130057,native,1,809.0
b1c28,matr,b1,100,1.0796947,0.0019471999999998157,1.0018067311684786,-7.726680272098095e-06,3.3397575116211916e-07,0.003846999999999934,0.0005214000000000052,0.00017414241380944476,-1.8046065545499517,-1.5825641791682252,1.0809715,1.986938775510016e-05,860.0,1.07937775,median_qd_cycles_2_to_5,,860.0,1,815.0,815.0,0,,860.0,1,859,1.0,0,0.88058227,native,1,815.0
