overall_rank,feature,mean_relative_importance,mean_rank,top5_rate,top10_rate
1,Qdis_N,0.14965835190066495,10.4,0.5,0.5
2,linearity_r2,0.08435317708723994,8.6,0.5,0.6
3,accel_mean,0.0667868531078277,9.1,0.4,0.6
4,Qdis_cycle10,0.0652303939238699,10.5,0.4,0.6
5,poly2_c,0.060055482332992204,8.8,0.4,0.5
6,range_Qdis,0.0481389677564307,9.2,0.4,0.6000000000000001
7,slope_last_quarter,0.04354224688751475,10.3,0.5,0.6
8,poly2_a,0.04332638721526205,10.0,0.5,0.6
9,variance_Qdis,0.04159506029838,9.3,0.2,0.5
10,slope_ratio,0.0380598652198778,11.9,0.2,0.7
11,sample_entropy,0.03699913966947075,7.9,0.2,1.0
12,mad_Qdis,0.03312838656699515,13.3,0.3,0.4
13,knee_cycle,0.026488656003239148,13.5,0.1,0.5
14,kurtosis_Qdis,0.0226190279167468,18.5,0.1,0.2
15,accel_max_abs,0.0223261698388977,15.0,0.1,0.2
16,spectral_entropy,0.0219704564255084,15.4,0.1,0.4
17,max_drop,0.02086348143602105,13.6,0.0,0.3
18,pos_neg_diff_ratio,0.020031174557097603,15.9,0.1,0.2
19,fft_top3_energy_ratio,0.01881608361070025,14.7,0.0,0.1
20,skewness_Qdis,0.0173405844325301,17.0,0.0,0.3
21,autocorr_lag1,0.01589027559371835,18.200000000000003,0.0,0.2
22,slope_first_quarter,0.01423335790695655,19.6,0.0,0.1
23,accel_std,0.01279995672235935,20.7,0.0,0.0
24,delta_Qdis,0.01205604525784895,22.1,0.0,0.2
25,std_diff,0.01177379422690125,21.4,0.0,0.0
26,slope_linear,0.0106574225158401,23.1,0.0,0.1
27,exp_decay_k,0.009424682446210149,23.2,0.0,0.0
28,poly2_b,0.0087366244258634,25.0,0.0,0.0
29,mean_diff,0.0084970951759717,25.799999999999997,0.0,0.0
30,retention_ratio,0.0072413952335531,26.6,0.0,0.0
31,cycle_to_99pct,0.00490108204803065,28.299999999999997,0.0,0.0
32,cycle_to_98pct,0.00113775011323695,32.8,0.0,0.0
33,n_capacity_jumps,0.0010755062434453,32.599999999999994,0.0,0.0
34,cycle_to_95pct,0.00024506590279565,32.7,0.0,0.0
